# Time	Cd	Cl	Cm
0.43	2.54784	-0.000132082	1.48987e-05
0.431	2.546	-0.000138425	1.45722e-05
0.432	2.54419	-0.000112242	1.56904e-05
0.433	2.54238	-0.000124784	1.52019e-05
0.434	2.54057	-0.000216194	9.43541e-06
0.435	2.53877	-0.000141074	1.39426e-05
0.436	2.53698	-0.000145642	1.39473e-05
0.437	2.53521	-0.000137845	1.38712e-05
0.438	2.53347	-6.34358e-05	1.75945e-05
0.439	2.53173	-0.000131602	1.36975e-05
0.44	2.52999	-0.000213253	9.69229e-06
0.441	2.52825	-4.43863e-05	1.96426e-05
0.442	2.52653	-0.000219933	8.66136e-06
0.443	2.52481	-7.22664e-05	1.77419e-05
0.444	2.5231	-0.000177111	1.10667e-05
0.445	2.5214	-0.000115267	1.46389e-05
0.446	2.51971	-7.86555e-07	1.99063e-05
0.447	2.51803	-0.00013832	1.33744e-05
0.448	2.51636	-0.000164589	1.20423e-05
0.449	2.51469	-0.000134801	1.34147e-05
0.45	2.51304	-0.000147897	1.33457e-05
0.451	2.51138	-0.000147653	1.32702e-05
0.452	2.50974	-0.000148895	1.2315e-05
0.453	2.50808	-0.000152538	1.19223e-05
0.454	2.50643	-0.000145214	1.2447e-05
0.455	2.50482	-0.00011171	1.49124e-05
0.456	2.50322	-0.000154406	1.1686e-05
0.457	2.50162	-0.000149958	1.1888e-05
0.458	2.50003	-0.000148341	1.19361e-05
0.459	2.49845	-0.000147227	1.19193e-05
0.46	2.49687	-0.00014667	1.1972e-05
0.461	2.4953	-0.000145709	1.18559e-05
0.462	2.49374	-0.000145137	1.18327e-05
0.463	2.49218	-0.000145096	1.18867e-05
0.464	2.49063	-0.00014343	1.16584e-05
0.465	2.4891	-0.0001378	1.24192e-05
0.466	2.48758	-0.000137061	1.24326e-05
0.467	2.48607	-0.000128871	1.34316e-05
0.468	2.48456	-0.000223005	6.8487e-06
0.469	2.48304	-0.000151032	1.209e-05
0.47	2.48155	-0.000145994	1.2031e-05
0.471	2.48006	-0.000147861	1.20771e-05
0.472	2.47858	-0.000148174	1.20332e-05
0.473	2.47711	-0.000147355	1.19079e-05
0.474	2.47563	-0.000207991	7.68255e-06
0.475	2.47419	-8.95637e-05	1.61161e-05
0.476	2.47272	-0.000193763	8.61327e-06
0.477	2.47129	-0.000136864	1.28125e-05
0.478	2.46985	-0.000131126	1.29473e-05
0.479	2.46843	-0.000123165	1.37e-05
0.48	2.46701	-0.000145491	1.2293e-05
0.481	2.46561	-0.00014367	1.17086e-05
0.482	2.46419	-0.000146817	1.18227e-05
0.483	2.46279	-0.000146279	1.16718e-05
0.484	2.4614	-0.000147873	1.16087e-05
0.485	2.46001	-0.000106886	1.47657e-05
0.486	2.45864	-0.000159759	1.05428e-05
0.487	2.45727	-0.000152048	1.08271e-05
0.488	2.45589	-0.00015049	1.09487e-05
0.489	2.45452	-0.000149711	1.10098e-05
0.49	2.45315	-0.000149418	1.10407e-05
0.491	2.45179	-0.000149245	1.1075e-05
0.492	2.45043	-0.00014896	1.11763e-05
0.493	2.44912	-0.000151096	1.02521e-05
0.494	2.44779	-0.000150833	1.09381e-05
0.495	2.44646	-0.00015098	1.08974e-05
0.496	2.44514	-9.31802e-05	1.41679e-05
0.497	2.44385	-0.00011651	1.29172e-05
0.498	2.44254	-0.000133506	1.20309e-05
0.499	2.44127	-0.000123836	1.24786e-05
0.5	2.43995	-0.000229832	4.58841e-06
0.501	2.43866	-0.000153499	1.02317e-05
0.502	2.43737	-0.000144164	1.12949e-05
0.503	2.4361	-0.000152686	1.05588e-05
0.504	2.43484	1.27235e-05	2.04477e-05
0.505	2.43357	-0.000259298	3.07624e-06
0.506	2.4323	-7.68797e-05	1.63473e-05
0.507	2.43107	-0.000229907	4.82552e-06
0.508	2.42982	-9.79629e-05	1.44376e-05
0.509	2.42859	-0.000182673	8.92022e-06
0.51	2.42735	-0.000123029	1.10175e-05
0.511	2.42612	-0.000164109	9.95043e-06
0.512	2.42489	-0.000152801	1.03134e-05
0.513	2.42367	-0.000110153	1.39607e-05
0.514	2.42247	-0.000167646	8.96803e-06
0.515	2.42126	-0.000160178	9.80397e-06
0.516	2.42007	-0.000163119	1.05342e-05
0.517	2.41888	-0.00016194	1.06262e-05
0.518	2.41768	-0.000157258	1.03866e-05
0.519	2.41651	-0.000158049	1.04632e-05
0.52	2.41534	-0.000156307	1.04086e-05
0.521	2.41418	-0.000156202	1.04094e-05
0.522	2.41302	-0.000155389	1.0386e-05
0.523	2.41186	-0.000154228	1.0371e-05
0.524	2.41071	-0.000155165	1.04566e-05
0.525	2.40936	-0.000160439	1.39016e-05
0.526	2.408	-0.000148784	9.92244e-06
